question_list,clean_question,label
"""Masa aktif saya hingga 2025 ya. Apakah bisa mengikuti salah satu promo tersebut?""",aktif mengikuti salah promo,0
"""Jika banyak perangkat yang terhubung pada modem, apakah akan berpengaruh pada speed yang didapatkan?""",perangkat terhubung modem berpengaruh speed didapatkan,0
"""saya ingin membeli modem dengan layanan 1D, berapa biaya yang harus saya keluarkan?""",membeli modem layanan d biaya keluarkan,0
"""Itu kamu tau pak Adi owner biznet tadi ditanya gak tau""",tau adi owner biznet gak tau,0
"""mau tanya quota""",quota,0
"""di area gunung putri sudah ada jaringan belum?""",area gunung putri jaringan,0
"""tanggal berapa biasanya akan terdebet untuk payment via kartu kredit?""",tanggal terdebet payment via kartu kredit,0
"""mau beli extra quota""",beli extra quota,0
"""Min saya bisa ga menonaktifkan layanannya dulu 2 bulan""",ga menonaktifkan layanannya,0
"""Min kalau modem rusak gimana ya?""",modem rusak gimana,0
"""paket internet dan tv berapa per bulan?""",paket internet tv,0
"""tanya produk""",produk,0
"""koneksinya lambat""",koneksinya lambat,0
"""status akunnya gimana?""",status akunnya gimana,0
"""Kenapa kendala terus ya ini""",kendala,0
"""Apakah Free Extra Quota hanya untuk pelanggan baru atau existing""",free extra quota pelanggan baru existing,0
"""Cara Factory Reset STB""",factory reset stb,0
"""Apa kah kamu kenal dengan pak Adi""",kah kenal adi,0
"""Cara cek masa aktif layanan Biznet saya""",cek aktif layanan biznet,0
"""Mau bayar""",bayar,0
"""Bagaimana cara mengatur DDNS ?""",mengatur ddns,0
"""Layanan internet LOS""",layanan internet los,0
"""cara berlangganan biznet""",berlangganan biznet,0
"""Upload dan download tidak simetris""",upload download simetris,0
"""Minimal speed yang didapatkan layanan 0D ?""",minimal speed didapatkan layanan d,0
"""channel tv yang tersedia dibiznet apa saja?""",channel tv tersedia dibiznet,0
"""paket yang miliki ip public""",paket miliki ip public,0
"""prediksi cuaca hari ini min""",prediksi cuaca,0
"""Sebutkan akun sosisal media layanan Biznet seperti x, facebook  dan instagram?""",sebutkan akun sosisal media layanan biznet x facebook instagram,0
"""mau beli kuota""",beli kuota,0
"""Kapan untuk perluasan cakupan area Biznet yang saat ini belum tercover?""",perluasan cakupan area biznet tercover,0
"""Apakah saya bisa menambah Add On IPTV ?""",menambah add on iptv,0
"""paket 1ds untuk area mana?""",paket ds area,0
"""proses nya berapa lama?""",proses,0
"""jika ingin tambah ekstra kuota gmn?""",ekstra kuota gmn,0
"""Ada berapa channel yang tersedia pada layanan IPTV Biznet?""",channel tersedia layanan iptv biznet,0
"""Cara rubah paket gimana""",rubah paket gimana,0
"""Kalau saya lewat tanggal masa aktif akun nanti gimana nasib saya?""",tanggal aktif akun gimana nasib,0
"""sudah di restart koneksi jadi mati""",restart koneksi mati,0
"""Mau tanya tentang Biznet Home, ada paket apa ajaa?""",biznet home paket ajaa,0
"""kendala lambat""",kendala lambat,0
"""Biznet apakah bisa berlangganan untuk lokasi high rise?""",biznet berlangganan lokasi high rise,0
"""apa ada kontak sales yang bisa saya hubungi?""",kontak sales hubungi,0
"""apakah saya bisa ubah nomor telepon?""",ubah nomor telepon,0
"""Promo perpanjangan ada apa aja kak?""",promo perpanjangan aja,0
"""apakah ada promo perpanjangan layanan?""",promo perpanjangan layanan,0
"""Kalo mau relokasi dong""",kalo relokasi,0
"""Terminasi layanan Biznet kemana?""",terminasi layanan biznet kemana,0
"""berapa harga bulanan paket saya""",harga bulanan paket,0
"""Kalo modem sewa totalnya berapa?""",kalo modem sewa totalnya,0
"""layanan IPTV dapat channel apa saja?""",layanan iptv channel,0
"""Saya mau terminasi layanan, bagainmana prosesnya?""",terminasi layanan bagainmana prosesnya,0
"""Saya sudah bayar tapi internetnya belum bisa digunakan. Kenapa ya?""",bayar internetnya,0
"""Kalo beli ekstra kuota gmn""",kalo beli ekstra kuota gmn,0
"""8+4 gaada min?""",gaada,0
"""Internet saya down sejak semalam""",internet down semalam,0
"""harga Biznet Home 1D berapa ya?""",harga biznet home d,0
"""internet cepat tanpa FUP""",internet cepat fup,0
"""cara tau jumlah prangkat terhubng gimana""",tau prangkat terhubng gimana,0
"""Jadi baiknya gimana om?""",baiknya gimana om,0
"""mau dong channel lengkapnya""",channel lengkapnya,0
"""Untuk username login myBiznet apa ya kak?""",username login mybiznet,0
"""cara bayar biznet home ?""",bayar biznet home,0
"""apakah biznet pempunya layanan telepon?""",biznet pempunya layanan telepon,0
"""cara ganti password secara mandiri?""",ganti password mandiri,0
"""ada promo apa aja untuk lampung""",promo aja lampung,0
"""cara cek kuota""",cek kuota,0
"""kendala tagihan berbeda""",kendala tagihan berbeda,0
"""kira kira 8+4 kapan tersedia nya ya?""",tersedia,0
"""Cek koneksi""",cek koneksi,0
"""ada whatsappnya ga?""",whatsappnya ga,0
"""Channel juga sudah dirubah""",channel dirubah,0
"""apakah boleh saya reset modemnya?""",reset modemnya,0
"""Connection intermitten""",connection intermitten,0
"""Apakah bisa memiliki lebih dari 1 akun?""",memiliki akun,0
"""Untuk layanan Biznet Home apakah menyedaiakan invoice pembayaran?""",layanan biznet home menyedaiakan invoice pembayaran,0
"""Min informasi paket yang bisa 10 device""",informasi paket device,0
"""cara pengajuan auto debit""",pengajuan auto debit,0
"""bagaimana cara ikut prooo?""",prooo,0
"""bukti pembayaran saya belum terima""",bukti pembayaran terima,0
"""apakah jaringan Biznet free hotspot diluar bisa saya gunakan?""",jaringan biznet free hotspot diluar,0
"""apakah palmerah jakarta tercover""",palmerah jakarta tercover,0
"""ada daftar channel nya ga?""",daftar channel ga,0
"""ada lagi ga paket lainnya""",ga paket,0
"""Apakah Biznet menyediakan kabel LAN""",biznet menyediakan kabel lan,0
"""misal saya baut order berapa lama linknya bisa dibayar ya?""",baut order linknya dibayar,0
"""kalau pasang baru apa dapat promo juga?""",pasang baru promo,0
"""berapa harga remote iptv?""",harga remote iptv,0
"""Untuk perubahan paket layanan membutuhkan waktu berapa lama?""",perubahan paket layanan membutuhkan,0
"""ubah paket ke 3D""",ubah paket d,0
"""Kalau saya terhalang sekat bagaimana Kak? soalnya modemnya jauh dari area yang saya gunakan""",terhalang sekat modemnya area,0
"""Kalo untuk layanan IPTV ada ga kak?""",kalo layanan iptv ga,0
"""Cara mengganti paket gimana""",mengganti paket gimana,0
"""Inet down""",inet down,0
"""Saya ingin menggunakan cctv, paket layanan biznet home apa yang cocok untuk penggunaan cctv?""",cctv paket layanan biznet home cocok penggunaan cctv,0
"""Berapa lama proses pemasangan setelah dilakukan pembayaran""",proses pemasangan pembayaran,0
"""Apakah ada promo untuk bulan ini?""",promo,0
"""Boleh minta metode pembayaran layanan Home""",metode pembayaran layanan home,0
"""km namanya emang siapa ya?""",km namanya emang,0
"""dapat IP publik statik ga ya?""",ip publik statik ga,0
"""Adakah perubahan nomor ID pelanggan utk biznet saya?""",adakah perubahan nomor id pelanggan utk biznet,0
"""Saya melakukan salah bayar tagihan hanya karena salah 1 digit saat memasukan nomor billing ID, apakah ada solusi?""",salah bayar tagihan salah digit memasukan nomor billing id solusi,0
"""Bisa gak config modem mamual?""",gak config modem mamual,0
"""Apakah dikenakan kontrak berlangganan untuk layanan Biznet Home?""",dikenakan kontrak berlangganan layanan biznet home,0
"""Channel IPTV Biznet apa aja ya ?""",channel iptv biznet aja,0
"""tolong di bantu promo 3+1""",bantu promo,0
"""menambah perangkat yang sudah ada""",menambah perangkat,0
"""Nomor virtual account BSI""",nomor virtual account bsi,0
"""gak ada promo spesial tahun baru?""",gak promo spesial baru,0
"""nomor call center biznet home""",nomor call center biznet home,0
"""Apakah perangkat akan diambil jika modemnya membeli""",perangkat diambil modemnya membeli,0
"""nomornya call center berapa?""",nomornya call center,0
"""harga modem biznet home""",harga modem biznet home,0
"""Min modem saya gak mau nyala""",modem gak nyala,0
"""perbedaan speed dan bandwidth""",perbedaan speed bandwidth,0
"""cara mengetahui cakupan area""",cakupan area,0
"""Saya ingin merubah skema penggunaan modem saya saat ini dari sewa menjadi beli apakah bisa?""",merubah skema penggunaan modem sewa beli,0
"""Mau bulanan saja""",bulanan,0
"""Ciri ciri tiang biznet gemana ? Soalnya ada tiang miring di jalan""",ciri ciri tiang biznet gemana tiang miring jalan,0
"""Apakah tidak ada promo beli modem ?""",promo beli modem,0
"""Bisakah saya menggunakan layanan Biznet Home untuk bisnis/perusahaan?""",layanan biznet home bisnis perusahaan,0
"""Ada FUP ga min?""",fup ga,0
"""Apabila nanti saya terminasi lalu saya berlangganan lagi apakah bisa?""",terminasi berlangganan,0
"""dimana kantor pusat biznet?""",dimana kantor pusat biznet,0
"""jakarta timur, cakung""",jakarta timur cakung,0
"""cara beli router tambahan""",beli router tambahan,0
"""apakah jaringan biznet bisa diperjual belikan lagi?""",jaringan biznet diperjual belikan,0
"""mau pindah lokasi""",pindah lokasi,0
"""Gak tau males pengen beli truck""",gak tau males pengen beli truck,0
"""Cek sisa kuota saya berapa?""",cek sisa kuota,0
"""Kalok harga paket 0d brrapa?""",kalok harga paket d brrapa,0
"""biznet home 0dn""",biznet home dn,0
"""apakah tidak ada promo pembelian modem?""",promo pembelian modem,0
"""bayar dengan cara di cicil apakah bisa ?""",bayar cicil,0
"""cara cek coverage area""",cek coverage area,0
"""di batam ada layanan apa aja""",batam layanan aja,0
"""Tolong berikan saya detail harganya untuk paket internet dan IPTV""",detail harganya paket internet iptv,0
"""Berapa jarak ideal dari DP terdekat ke rumah untuk pemasangan ?""",jarak ideal dp terdekat rumah pemasangan,0
"""Berapa lama Masa aktif layanan Biznet Home?""",aktif layanan biznet home,0
"""apakah biznet Home meyediakan IP static?""",biznet home meyediakan ip static,0
"""kenapa saya tidak bisa akses disney hotstar? keterangannya koneksi saya menggunakan vpn""",akses disney hotstar keterangannya koneksi vpn,0
"""i have red blinking lamp on my modem what should i do?""",i have red blinking lamp on my modem what should i do,0
"""Bisa gak aku config modem manual ?""",gak config modem manual,0
"""Saya ingin mengetahui cara cek IP layanan Biznet home saya.""",cek ip layanan biznet home,0
"""kapan teknisinya datang""",teknisinya,0
"""tanggal berapa biasanya akan terdebet?""",tanggal terdebet,0
"""jika saya pakai paket gamers apakah IP yang saya dapat akan berubah ubah?""",pakai paket gamers ip berubah ubah,0
"""Saya tidak dapat mengirim dan menerimal email""",mengirim menerimal email,0
"""berapa lama garansi modem biznet?""",garansi modem biznet,0
"""kalo saya mau relokasi gimana caranya?""",kalo relokasi gimana,0
"""langkah langkah lakukan bridge modem Biznet bagaimana?""",langkah langkah lakukan bridge modem biznet,0
"""Bisa informasikan cara berlangganan?""",informasikan berlangganan,0
"""mau nanya desember ini ada promo apaan aja ya?""",nanya desember promo aja,0
"""bagaimana cara beli xtra kuota?""",beli xtra kuota,0
"""bisa pakai STB merek lain?""",pakai stb merek,0
"""harga paling murah berapa?""",harga murah,0
"""saya tidak ada pulsa jadi disini saja saya komplainnya""",pulsa komplainnya,0
"""harga mesh wifi berapa?""",harga mesh internet,0
"""Apakah layanan metronet bisa untuk rumahan?""",layanan metronet rumahan,0
"""Mo beli quota""",mo beli quota,0
"""promo berlangganan 2D buy daerah bogor""",promo berlangganan d buy daerah bogor,0
"""cara melakukan pembayaran via bank Mandiri""",pembayaran via bank mandiri,0
"""Ini gimana caranya""",gimana,0
"""kapan akan dikirimkan reminder pembayaran""",dikirimkan reminder pembayaran,0
"""apakah Biznet Home mengeluarkan invoice fisik""",biznet home mengeluarkan invoice fisik,0
"""cara mengetahui masa aktif akun""",aktif akun,0
"""Untuk trasnfer bank ada bank apa saja?""",trasnfer bank bank,0
"""kalo promo 3+1 gimana?""",kalo promo gimana,0
"""mau masuk ke modem?""",masuk modem,0
"""Biznet bagus gal sih ?""",biznet bagus gal sih,0
"""Apakah bisa dilakukan rekoneksi""",rekoneksi,0
"""Biznet homr""",biznet homr,0
"""boleh bantu ke cs ya""",bantu,0
"""Saya ingin membuka warnet, layanan Biznet apa yang cocok untuk warnet?""",membuka warnet layanan biznet cocok warnet,0
"""Biznet Dedicated""",biznet dedicated,0
"""bagaimana cara memindahkan modem Biznet?""",memindahkan modem biznet,0
"""apakah saya bisa menggunakan promo untuk paket saya?""",promo paket,0
"""Bayar promo""",bayar promo,0
"""Customer Service""",customer service,0
"""Berapa kapasitas bandwidth yang bisa di dapatkan jika saya menggunakan kabel LAN?""",kapasitas bandwidth dapatkan kabel lan,0
"""Cara change data dong""",change data,0
"""harga home internet 0D""",harga home internet d,0
"""tipe kabelnya apa min""",tipe kabelnya,0
"""emang itu kalo nggak bayar bakal di ambil modemnya""",emang kalo bayar ambil modemnya,0
"""Min saya punya 2 perangkat dengan ID layanan yang berbeda, tapi ko di app MyBiznet cuma 1 yang terbaca""",perangkat id layanan berbeda ko app mybiznet terbaca,0
"""Apakah Biznet dapat melakukan refund jika terjadi kesalahan pembayaran?""",biznet refund kesalahan pembayaran,0
"""Connection Down""",connection down,0
"""harga paket 0DS""",harga paket ds,0
"""Bisa informasikan dikenakan  berapa pajak pada layanan Biznet?""",informasikan dikenakan pajak layanan biznet,0
"""pilihan internet untuk kantor""",pilihan internet kantor,0
"""saya mau pasang baru""",pasang baru,0
"""Los modem min""",los modem,0
"""Paket 3 Plus 1 hargfanya berapa?""",paket plus hargfanya,0
"""Internet putus ni""",internet putus ni,0
"""Kenapa VPN kantor saya tidak ada koneksi.""",vpn kantor koneksi,0
"""apakah ada garansi untuk pembelian STB""",garansi pembelian stb,0
"""bisa sambungkan ke live agent""",sambungkan live agent,0
"""cara stop auto debet?""",stop auto debet,0
"""i live in pantai indah kapuk 3, north jakarta""",i live in pantai indah kapuk north jakarta,0
"""apakah biznet home tercover area cibinong?""",biznet home tercover area cibinong,0
"""saya mau complaint""",complaint,0
"""apakah ada denda berlangganan?""",denda berlangganan,0
"""kalo beli modem?""",kalo beli modem,0
"""internet down nih gemana ?""",internet down gemana,0
"""Oke terus kapan reminder pembayaran dikirim?""",oke reminder pembayaran dikirim,0
"""Cukup min bisa di akhiri chat nya""",chat,0
"""Saya ingin melakukan pembayaran dengan promo tetapi masa aktif saya masih sampai dengan 30 Desember 2024, apakah jika saya melakukan pembayaran hari ini masa aktif akan terkakumulasi?""",pembayaran promo aktif desember pembayaran aktif terkakumulasi,0
"""kalo lewat shoope ga bisa ya?""",kalo shoope,0
"""saya tidak dapat akses website tertentu, dapat dibantu?""",akses website dibantu,0
"""Kapan sebaiknya saya melakukan perubahan paket layanan internet saya?""",perubahan paket layanan internet,0
"""Bagaimana prtosedur relokasi?""",prtosedur relokasi,0
"""jika modem saya rusak apakah bisa dilakukan pergantian?""",modem rusak pergantian,0
"""Tolong diinformasikan paket layanan yang tersedia untuk rumah saya""",diinformasikan paket layanan tersedia rumah,0
"""Apakah biznet metronet memiliki SLA""",biznet metronet memiliki sla,0
"""Adakah perubahan nomor pelanggan utk biznet saya?""",adakah perubahan nomor pelanggan utk biznet,0
"""kenapa bayar di atas jam 12 malam gak langsung aktif internetnya?""",bayar jam malam gak langsung aktif internetnya,0
"""Internet aga lambat""",internet aga lambat,0
"""assalamualaikum""",assalamualaikum,0
"""baik, \nkalo masa aktifnya hinga 3 Januari 2025 gimana om?""",nkalo aktifnya hinga januari gimana om,0
"""Saya mau pindahin modem gimana caranya?""",pindahin modem gimana,0
"""cara login my biznet""",login my biznet,0
"""berapa perangkat untuk 1dn?""",perangkat dn,0
"""kata SPV saya unlimited selama order masih ada?""",spv unlimited order,0
"""mau setting modem sendiri gimana caranya""",setting modem gimana,0
"""baik terimakasih""",terimakasih,0
"""ada internet ngga bisa browsing""",internet ngtidak browsing,0
"""Estimasi relokasi biasaya berapa hari?""",estimasi relokasi biasaya,0
"""Kalau telat melakukan pembayaran paket apakah ada denda kak?""",telat pembayaran paket denda,0
"""saya mau ganti modem""",ganti modem,0
"""Internet mati nih""",internet mati,0
"""Koneksi Lambat""",koneksi lambat,0
"""internet aku putus min tidak bisa dipakai""",internet putus dipakai,0
"""bisa combo sama home 0d ngga""",combo home d ngga,0
"""ingin membeli kuota""",membeli kuota,0
"""cara membeli add on kuota?""",membeli add on kuota,0
"""Jika berlangganan dengan skema modem membeli apakah ada garansi modemnya?""",berlangganan skema modem membeli garansi modemnya,0
"""Apa itu FUP""",fup,0
"""apakah untuk layanan 3D mendapatkan ip static?""",layanan d ip static,0
"""harga modem biznet""",harga modem biznet,0
"""Mau pesen lewat cs dong""",pesen,0
"""Min saya dibatam, kena PPN 11% ga?""",dibatam kena ppn ga,0
"""Apakah bisa melakukan perubahan paket?""",perubahan paket,0
"""koneksi saya gk bisa dipake""",koneksi gk dipake,0
"""Berapa maksimal device pada layanan 0D""",maksimal device layanan d,0
"""saya mau tanya perihal layanan""",perihal layanan,0
"""keunggulan layanan 0D apa aja ya""",keunggulan layanan d aja,0
"""apakah cabang gunung putri buka setiap hari?""",cabang gunung putri buka,0
"""Tidak dapat membuka halaman aplikasi di situs https://app.biznet.id.""",membuka halaman aplikasi situs https app biznet id,0
"""Mau berhenti berlangganan, Belum pasti nanti akan digunakan kembali atau tidak Pak""",berhenti berlangganan,0
"""kenapa koneksi saya putus-putus?""",koneksi putus putus,0
"""Paket apa saja pilhannya ?""",paket pilhannya,0
"""cara beli promo gemana ?""",beli promo gemana,0
"""layanan metronet itu apa""",layanan metronet,0
"""Ingin cp""",cp,0
"""itu kapan resetnya""",resetnya,0
"""Username dan pass adminnya apa ?""",username pass adminnya,0
"""Klo ubah password?""",klo ubah password,0
"""sulawesi ada paket apa aja""",sulawesi paket aja,0
"""Untuk pembayaran kemana ya?""",pembayaran kemana,0
"""Troubleshoot modem blinking""",troubleshoot modem blinking,0
"""kalo layanan saya 1D dan ingin menggunakan IPTV, tagihannya di kenakan berapa?""",kalo layanan d iptv tagihannya kenakan,0
"""cara setting CCTV pakai jaringan biznet""",setting cctv pakai jaringan biznet,0
"""Saya minta no WhatsApp nya dong""",no whatsapp,0
"""Cara mengetahui alamat sudah tercover atau belum gimana?""",alamat tercover gimana,0
"""Jika skema modem diawal menyewa, apakah bisa dilakukan pembelian""",skema modem diawal menyewa pembelian,0
"""Lambat internet""",lambat internet,0
"""mau beli etra quota""",beli etra quota,0
"""Apakah layanan Biznet Home dikenakan kontrak""",layanan biznet home dikenakan kontrak,0
"""Connection Slow""",connection slow,0
"""Berapa jenis paket gamers biznet?""",jenis paket gamers biznet,0
"""Kapan kuota akan direset""",kuota direset,0
"""Untuk proses selanjutnya jika alamat tempat tinggal saya sudah tercover jaringan Biznet seperti apa atau bagimana?""",proses alamat tinggal tercover jaringan biznet bagimana,0
"""Saya ada kendala pembayaran nih""",kendala pembayaran,0
"""produk yang murah meriah""",produk murah meriah,0
"""kok ga bisa akses situs perbankan""",akses situs perbankan,0
"""Apa syarat untuk berhenti berlangganan ?""",syarat berhenti berlangganan,0
"""di my biznet no promo available, kenapa?""",my biznet no promo available,0
"""kenapa jaringan saya bermasalah akhir akhir ini?""",jaringan bermasalah,0
"""putus sambung""",putus sambung,0
"""apakah bisa ajukan terminasi melalui MyBiznet?""",ajukan terminasi mybiznet,0
"""Bagaimana cara agar koneksi internet tetap stabil""",koneksi internet stabil,0
"""Biaya pinalty terminasi""",biaya pinalty terminasi,0
"""cara melakukan pembayaran melalui virtual account BCA""",pembayaran virtual account bca,0
"""loss merah""",los merah,0
"""Mau rubah password gimana caranya?""",rubah password gimana,0
"""Koneksi down""",koneksi down,0
"""Berapa biaya instalasi""",biaya instalasi,0
"""Apa kelemahan koneksi dengan fiber ?""",kelemahan koneksi fiber,0
"""Harga visit berbayar""",harga visit berbayar,0
"""informasi promo""",informasi promo,0
"""apakah jaringan biznet bisa dikomersilkan?""",jaringan biznet dikomersilkan,0
"""Nanya promo""",nanya promo,0
"""kalau untuk kantor apa bisa pakai biznet home?""",kantor pakai biznet home,0
"""saya mau ubah nama akun apakah bisa?""",ubah nama akun,0
"""mau downgrade""",downgrade,0
"""Saya mau melakukan perpanjangan wifi""",perpanjangan internet,0
"""Kamu sebagai apa di biznet""",biznet,0
"""Untuk koneksi agak intermitten y""",koneksi intermitten y,0
"""kalo ingin terminasi gimana caranya?""",kalo terminasi gimana,0
"""Area Jawa ada paket apa saja?""",area jawa paket,0
"""pembayaran di tolak""",pembayaran tolak,0
"""cara melakukan registrasi ulang""",registrasi ulang,0
"""kan lama proses nya di 7 hari, mahal tapi lama""",proses mahal,0
"""ada promo untuk iptv?""",promo iptv,0
"""apakah modem saya akan dilakukan pengambilan?""",modem pengambilan,0
"""saya ingin membeli modem apakah bisa di proses di hari ini?""",membeli modem proses,0
"""apakah remot tv iptv bisa beli diluar biznet?""",remot tv iptv beli diluar biznet,0
"""Akun saya sebelumnya sudah terminated dengan skema modem membeli lalu ingin berlangganan kembali, apakah modemnya dapat digunkan kembali?""",akun terminated skema modem membeli berlangganan modemnya digunkan,0
"""apakah KTP yang sudah saya daftarkan bisa didaftarkan lagi?""",ktp daftarkan didaftarkan,0
"""saya ingin menambah router tamban untuk memperluas jaringan Biznet, apakah ada rekomendasi perangkat?""",menambah router tamban memperluas jaringan biznet rekomendasi perangkat,0
"""bagaimana cara upgrade?""",upgrade,0
"""beli kuotq""",beli kuotq,0
"""Apakah Biznet Home memiliki kompensasi""",biznet home memiliki kompensasi,0
"""apakah bisa jika saya tidak bayar sebulan karena akan keluar kota?""",bayar sebulan kota,0
"""apakah mybiznet sudah tersedia di appstore atau playstore ?""",mybiznet tersedia appstore playstore,0
"""apakah biznet memiliki tanggal jatuh tempo""",biznet memiliki tanggal jatuh tempo,0
"""Apa aladan saya pilih biznet home ?""",aladan pilih biznet home,0
"""mo relokasi""",mo relokasi,0
"""informasi harga paket area manado min""",informasi harga paket area manado,0
"""apa itu IP?""",ip,0
"""saya ga bisa buka detik.com""",buka detik com,0
"""apa arti Biznet?""",arti biznet,0
"""dih kok di kenakan pinalti?""",dih kenakan pinalti,0
"""kalau mau beli promo 3+1 gimaa caranya""",beli promo gimaa,0
"""jumlah channel TV yang terdapat di dalam Layanan Biznet Biznet IPTV""",channel tv layanan biznet biznet iptv,0
"""mau tanya cakupan min""",cakupan,0
"""hubungkan ke agent""",hubungkan agent,0
"""Change package with another ID""",change package with another id,0
"""berapa lama estimasi perbaikan gangguan""",estimasi perbaikan gangguan,0
"""login my biznet gimana?""",login my biznet gimana,0
"""Berapa harga perbulan untuk layanan IPTV dan apakah saya perlu melakukan pembelian alatnya?""",harga perbulan layanan iptv pembelian alatnya,0
"""bukan disitu alamatnya""",disitu alamatnya,0
"""Jenis paket layanan biznet home""",jenis paket layanan biznet home,0
"""Kalau kendala internet mati saya harus bagaimana?""",kendala internet mati,0
"""remote iptv saya rusak""",remote iptv rusak,0
"""Bandiwth 1D berapa?""",bandiwth d,0
"""saya mau tau harga paket saya""",tau harga paket,0
"""ada paket paling murah berapa?""",paket murah,0
"""Masalah teknis""",teknis,0
"""bisa tidak pengajuan IPTV untuk layanan 0D?""",pengajuan iptv layanan d,0
"""mau 12+5 deh kak""",deh,0
"""Layanan yang di sarankan untuk menggunakan CCTV""",layanan sarankan cctv,0
"""cara pasang router tambahan""",pasang router tambahan,0
"""Masa aktif masih 3 bulan lagi, mau change packet bisa min?""",aktif change packet,0
"""Kenapa lokasi saya gak bisa pake biznet?""",lokasi pake biznet,0
"""min portnya keblokir""",portnya keblokir,0
"""Kalok mau ngjuin sponsor kemana ?""",kalok ngjuin sponsor kemana,0
"""Apakah Biznet menjual perangkat router tambahan untuk support jangakuan koneksinya?""",biznet menjual perangkat router tambahan support jangakuan koneksinya,0
"""cara login ke mybiznet""",login mybiznet,0
"""ada promo apa saja pada bulan desember ini?""",promo desember,0
"""berapa harga pemasangan awal untuk layanan biznet home internet 1d untuk wilayah depok""",harga pemasangan layanan biznet home internet d wilayah depok,0
"""Ciri ciri tiang biznet warna apa soalnya ada tiang miring dijalanan?""",ciri ciri tiang biznet warna tiang miring dijalanan,0
"""kalo lambat gmn""",kalo lambat gmn,0
"""Halo Pagi, mau tanya tentang biznet home""",halo pagi biznet home,0
"""interner down""",interner down,0
"""Apakah ada ketentuan untuk rekoneksi layanan yang sudah lama tidak dibayarkan?""",ketentuan rekoneksi layanan dibayarkan,0
"""cara login ke aplikasi gimana""",login aplikasi gimana,0
"""Ada biaya penalty untuk terminasi?""",biaya penalty terminasi,0
"""Info produk Biznet home""",info produk biznet home,0
"""wilayah sukawati bali""",wilayah sukawati bali,0
"""syarat relokasi apa saja?""",syarat relokasi,0
"""ada lampu loss merah""",lampu los merah,0
"""Ada modem wireless gak ?""",modem wireless gak,0
"""saya mau topup""",topup,0
"""Kelemahan koneksi wifi""",kelemahan koneksi internet,0
"""Harga paket yang tersedia di Biznet Home""",harga paket tersedia biznet home,0
"""jika internet putus nyambung itu kenapa ya?""",internet putus nyambung,0
"""saya ingin ubah layanan apakah bisa dibantu""",ubah layanan dibantu,0
"""Apakah Biznet ada channel HBO""",biznet channel hbo,0
"""bukannya promo 12+5 itu benarnya  12+6 ya""",promo benarnya,0
"""layanan saya biznet 3D, saya mau main dota 2, sudah berhasil masuk ke steam, tapi saya tidak dapat akses dota 2, kenapa ya?""",layanan biznet d main dota berhasil masuk steam akses dota,0
"""Owh oje kalok di tambah router bisa gak ?""",owh oje kalok router gak,0
"""Min cara liat ID pembayaran dimana""",liat id pembayaran dimana,0
"""pembayaran apa saja yang disediakan oleh biznet""",pembayaran disediakan biznet,0
"""kuota saya saat ini""",kuota,0
"""harga promo biznet ada?""",harga promo biznet,0
"""berapa hari estimasi pemasangan?""",estimasi pemasangan,0
"""apa ada promo yg tersedia saat ini?""",promo yg tersedia,0
"""cara order promo melalui Mybiznet""",order promo mybiznet,0
"""Saya mau tanya pembayaran biznet bisa apa saja.""",pembayaran biznet,0
"""Ip yang didapatkan pada paket 1D""",ip didapatkan paket d,0
"""Massa aktif saya sampai kapan?""",massa aktif,0
"""Cara cek coverage layanan Biznet Home""",cek coverage layanan biznet home,0
"""jika saya terminasi sebelum masa kontak langganan berakhir dikarenakan alamat baru belum tercakup apakah  tidak dikenakan biaya pinati?""",terminasi kontak langganan alamat baru tercakup dikenakan biaya pinati,0
"""cara berlangganan baru bagaimana?""",berlangganan baru,0
"""Kalau biaya pemasangan baru berapa kak?""",biaya pemasangan baru,0
"""Salam sejahtera""",salam sejahtera,0
"""Cara cek nomor SN biznet dimana?""",cek nomor sn biznet dimana,0
"""minta detail dan pastinya dong buat harga dari promo, lebih baik saya pilih ya mana nih?""",detail pastinya harga promo pilih,0
"""kapan mybiznet ada di appstore?""",mybiznet appstore,0
"""bayar dengan cara hutang ?""",bayar hutang,0
"""Apakah bisa menggunakan e-mail dan nomor telepon yang sama""",e mail nomor telepon,0
"""Internetnya lambat""",internetnya lambat,0
"""berapa suhu modem seharusnya""",suhu modem,0
"""harga paket 0DW""",harga paket dw,0
"""Perbedaan IP Biznet Home 0D sama Gamers 3D apa min""",perbedaan ip biznet home d gamers d,0
"""apakah jika berlangganan dikenakan masa kontrak""",berlangganan dikenakan kontrak,0
"""bagaimana cara beli modem?""",beli modem,0
"""Inwt mati ni""",inwt mati ni,0
"""cara melakukan ping dan tracert itu bagaimana?""",ping tracert,0
"""maksimal penarikan kabel berapa meter""",maksimal penarikan kabel meter,0
"""ya ga mau tau, saya kemarin ditawarin promo 8+4""",ga tau kemarin ditawarin promo,0
"""Kalo harga paket gamers 3D berapa?""",kalo harga paket gamers d,0
"""saya belum terbantu ini""",terbantu,0
"""Untuk STB nya apakah ada biaya lagi?""",stb biaya,0
"""Halo internet saya down""",halo internet down,0
"""Modem los""",modem los,0
"""kalo nomor telepon Home care berapa ya? saya mau call""",kalo nomor telepon home care call,0
"""Apakah Biznet dapat dilakukan refund jika pelanggan tidak puas dengan layanannya""",biznet refund pelanggan puas layanannya,0
